Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,SEO Title,SEO Description
pseudofluoro-root,,,,,,,Size,1 L,pseudofluoro-root-1l,498,100,,
pseudofluoro-root,,,,,,,Size,5 L,pseudofluoro-root-5l,2067,100,,
pseudofluoro-root,,,,,,,Size,10 L,pseudofluoro-root-10l,3860,100,,
pseudofluoro-root,,,,,,,Size,25 L,pseudofluoro-root-25l,8566,100,,
beauveria-bass-pro,Beauveria Bass Pro,"<p>Beauveria Bass Pro is a professionally formulated Beauveria bassiana 1.15% WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Beauveria while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Beauveria, Beauveria bassiana 1.15% WP, organic pest control, Morbeez, IPM",TRUE,Size,500 g,beauveria-bass-pro-500g,280,100,Beauveria Bass Pro,"Beauveria Bass Pro is a professionally formulated Beauveria bassiana 1.15% WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Beauveria while helping improve root growth, enhance flowering, and increase yield under monsoon st"
beauveria-bass-pro,,,,,,,Size,1 kg,beauveria-bass-pro-1kg,482,100,,
beauveria-bass-pro,,,,,,,Size,5 kg,beauveria-bass-pro-5kg,2001,100,,
beauveria-bass-pro,,,,,,,Size,10 kg,beauveria-bass-pro-10kg,3737,100,,
beauveria-bass-pro,,,,,,,Size,25 kg,beauveria-bass-pro-25kg,8295,100,,
metashield-anisopliae,MetaShield Anisopliae,"<p>MetaShield Anisopliae is a professionally formulated Metarhizium anisopliae 1% WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Metarhizium while helping improve root growth, enhance flowering, and increase yield under drought. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Metarhizium, Metarhizium anisopliae 1% WP, organic pest control, Morbeez, IPM",TRUE,Size,500 g,metashield-anisopliae-500g,285,100,MetaShield Anisopliae,"MetaShield Anisopliae is a professionally formulated Metarhizium anisopliae 1% WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Metarhizium while helping improve root growth, enhance flowering, and increase yield under drou"
metashield-anisopliae,,,,,,,Size,1 kg,metashield-anisopliae-1kg,491,100,,
metashield-anisopliae,,,,,,,Size,5 kg,metashield-anisopliae-5kg,2038,100,,
metashield-anisopliae,,,,,,,Size,10 kg,metashield-anisopliae-10kg,3806,100,,
metashield-anisopliae,,,,,,,Size,25 kg,metashield-anisopliae-25kg,8446,100,,
vertiguard-bio,VertiGuard Bio,"<p>VertiGuard Bio is a professionally formulated Verticillium lecanii agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Verticillium while helping improve root growth, enhance flowering, and increase yield under heat. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Farmers use VertiGuard Bio in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Verticillium, Verticillium lecanii, organic pest control, Morbeez, IPM",TRUE,Size,500 g,vertiguard-bio-500g,269,100,VertiGuard Bio,"VertiGuard Bio is a professionally formulated Verticillium lecanii agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Verticillium while helping improve root growth, enhance flowering, and increase yield under heat. Suitable for"
vertiguard-bio,,,,,,,Size,1 kg,vertiguard-bio-1kg,465,100,,
vertiguard-bio,,,,,,,Size,5 kg,vertiguard-bio-5kg,1928,100,,
vertiguard-bio,,,,,,,Size,10 kg,vertiguard-bio-10kg,3601,100,,
vertiguard-bio,,,,,,,Size,25 kg,vertiguard-bio-25kg,7992,100,,
nemaguard-paecilo,NemaGuard Paecilo,"<p>NemaGuard Paecilo is a professionally formulated Paecilomyces lilacinus agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Paecilomyces while helping improve root growth, enhance flowering, and increase yield under salinity. Farmers use NemaGuard Paecilo in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Paecilomyces, Paecilomyces lilacinus, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,nemaguard-paecilo-500ml,347,100,NemaGuard Paecilo,"NemaGuard Paecilo is a professionally formulated Paecilomyces lilacinus agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Paecilomyces while helping improve root growth, enhance flowering, and increase yield under salinity. Far"
nemaguard-paecilo,,,,,,,Size,1 L,nemaguard-paecilo-1l,598,100,,
nemaguard-paecilo,,,,,,,Size,5 L,nemaguard-paecilo-5l,2482,100,,
nemaguard-paecilo,,,,,,,Size,10 L,nemaguard-paecilo-10l,4635,100,,
nemaguard-paecilo,,,,,,,Size,25 L,nemaguard-paecilo-25l,10286,100,,
bt-caterpillar-guard,BT Caterpillar Guard,"<p>BT Caterpillar Guard is a professionally formulated Bacillus thuringiensis kurstaki agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Bacillus thuringiensis while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Bacillus thuringiensis, Bacillus thuringiensis kurstaki, organic pest control, Morbeez, IPM",TRUE,Size,500 g,bt-caterpillar-guard-500g,264,100,BT Caterpillar Guard,"BT Caterpillar Guard is a professionally formulated Bacillus thuringiensis kurstaki agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Bacillus thuringiensis while helping improve root growth, enhance flowering, and increase yie"
bt-caterpillar-guard,,,,,,,Size,1 kg,bt-caterpillar-guard-1kg,456,100,,
bt-caterpillar-guard,,,,,,,Size,5 kg,bt-caterpillar-guard-5kg,1892,100,,
bt-caterpillar-guard,,,,,,,Size,10 kg,bt-caterpillar-guard-10kg,3533,100,,
bt-caterpillar-guard,,,,,,,Size,25 kg,bt-caterpillar-guard-25kg,7840,100,,
neemazad-3000,NeemAzad 3000,"<p>NeemAzad 3000 is a professionally formulated Azadirachtin 0.15% EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Neem formulations while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Farmers use NeemAzad 3000 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Neem formulations, Azadirachtin 0.15% EC, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,neemazad-3000-500ml,364,100,NeemAzad 3000,"NeemAzad 3000 is a professionally formulated Azadirachtin 0.15% EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Neem formulations while helping improve root growth, enhance flowering, and increase yield under monsoon stres"
neemazad-3000,,,,,,,Size,1 L,neemazad-3000-1l,628,100,,
neemazad-3000,,,,,,,Size,5 L,neemazad-3000-5l,2606,100,,
neemazad-3000,,,,,,,Size,10 L,neemazad-3000-10l,4867,100,,
neemazad-3000,,,,,,,Size,25 L,neemazad-3000-25l,10802,100,,
neemazad-10000,NeemAzad 10000,"<p>NeemAzad 10000 is a professionally formulated Azadirachtin 1% EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Neem formulations while helping improve root growth, enhance flowering, and increase yield under drought. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Neem formulations, Azadirachtin 1% EC, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,neemazad-10000-500ml,434,100,NeemAzad 10000,"NeemAzad 10000 is a professionally formulated Azadirachtin 1% EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Neem formulations while helping improve root growth, enhance flowering, and increase yield under drought. Suitab"
neemazad-10000,,,,,,,Size,1 L,neemazad-10000-1l,748,100,,
neemazad-10000,,,,,,,Size,5 L,neemazad-10000-5l,3104,100,,
neemazad-10000,,,,,,,Size,10 L,neemazad-10000-10l,5797,100,,
neemazad-10000,,,,,,,Size,25 L,neemazad-10000-25l,12866,100,,
herbalguard-ec,HerbalGuard EC,"<p>HerbalGuard EC is a professionally formulated Plant extract botanical EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Botanical pesticides while helping improve root growth, enhance flowering, and increase yield under heat. Farmers use HerbalGuard EC in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Botanical pesticides, Plant extract botanical EC, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,herbalguard-ec-500ml,347,100,HerbalGuard EC,"HerbalGuard EC is a professionally formulated Plant extract botanical EC agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Botanical pesticides while helping improve root growth, enhance flowering, and increase yield under heat"
herbalguard-ec,,,,,,,Size,1 L,herbalguard-ec-1l,598,100,,
herbalguard-ec,,,,,,,Size,5 L,herbalguard-ec-5l,2482,100,,
herbalguard-ec,,,,,,,Size,10 L,herbalguard-ec-10l,4635,100,,
herbalguard-ec,,,,,,,Size,25 L,herbalguard-ec-25l,10286,100,,
lecaniwhitefly,LecaniWhitefly,"<p>LecaniWhitefly is a professionally formulated Lecanicillium spp. agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Verticillium while helping improve root growth, enhance flowering, and increase yield under salinity. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Farmers use LecaniWhitefly in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Verticillium, Lecanicillium spp., organic pest control, Morbeez, IPM",TRUE,Size,500 ml,lecaniwhitefly-500ml,358,100,LecaniWhitefly,"LecaniWhitefly is a professionally formulated Lecanicillium spp. agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Verticillium while helping improve root growth, enhance flowering, and increase yield under salinity. Compatible"
lecaniwhitefly,,,,,,,Size,1 L,lecaniwhitefly-1l,618,100,,
lecaniwhitefly,,,,,,,Size,5 L,lecaniwhitefly-5l,2565,100,,
lecaniwhitefly,,,,,,,Size,10 L,lecaniwhitefly-10l,4790,100,,
lecaniwhitefly,,,,,,,Size,25 L,lecaniwhitefly-25l,10630,100,,
nemastop-granules,NemaStop Granules,"<p>NemaStop Granules is a professionally formulated Paecilomyces lilacinus WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Paecilomyces while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Paecilomyces, Paecilomyces lilacinus WP, organic pest control, Morbeez, IPM",TRUE,Size,500 g,nemastop-granules-500g,295,100,NemaStop Granules,"NemaStop Granules is a professionally formulated Paecilomyces lilacinus WP agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Paecilomyces while helping improve root growth, enhance flowering, and increase yield under waterloggi"
nemastop-granules,,,,,,,Size,1 kg,nemastop-granules-1kg,509,100,,
nemastop-granules,,,,,,,Size,5 kg,nemastop-granules-5kg,2111,100,,
nemastop-granules,,,,,,,Size,10 kg,nemastop-granules-10kg,3942,100,,
nemastop-granules,,,,,,,Size,25 kg,nemastop-granules-25kg,8749,100,,
trichobt-combo,TrichoBT Combo,"<p>TrichoBT Combo is a professionally formulated Trichoderma + BT blend agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Trichoderma harzianum while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Trichoderma harzianum, Trichoderma + BT blend, organic pest control, Morbeez, IPM",TRUE,Size,500 g,trichobt-combo-500g,305,100,TrichoBT Combo,"TrichoBT Combo is a professionally formulated Trichoderma + BT blend agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Trichoderma harzianum while helping improve root growth, enhance flowering, and increase yield under monsoon"
trichobt-combo,,,,,,,Size,1 kg,trichobt-combo-1kg,526,100,,
trichobt-combo,,,,,,,Size,5 kg,trichobt-combo-5kg,2184,100,,
trichobt-combo,,,,,,,Size,10 kg,trichobt-combo-10kg,4078,100,,
trichobt-combo,,,,,,,Size,25 kg,trichobt-combo-25kg,9051,100,,
rhizodefense-pseudo,RhizoDefense Pseudo,"<p>RhizoDefense Pseudo is a professionally formulated Pseudomonas for blight agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Pseudomonas while helping improve root growth, enhance flowering, and increase yield under drought. Farmers use RhizoDefense Pseudo in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Farmers use RhizoDefense Pseudo in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Pseudomonas, Pseudomonas for blight, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,rhizodefense-pseudo-500ml,295,100,RhizoDefense Pseudo,"RhizoDefense Pseudo is a professionally formulated Pseudomonas for blight agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Pseudomonas while helping improve root growth, enhance flowering, and increase yield under drought. Far"
rhizodefense-pseudo,,,,,,,Size,1 L,rhizodefense-pseudo-1l,508,100,,
rhizodefense-pseudo,,,,,,,Size,5 L,rhizodefense-pseudo-5l,2108,100,,
rhizodefense-pseudo,,,,,,,Size,10 L,rhizodefense-pseudo-10l,3937,100,,
rhizodefense-pseudo,,,,,,,Size,25 L,rhizodefense-pseudo-25l,8738,100,,
soilfungus-tricho,SoilFungus Tricho,"<p>SoilFungus Tricho is a professionally formulated Trichoderma soil dose agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Trichoderma viride while helping improve root growth, enhance flowering, and increase yield under heat. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 2–3 g/L foliar</p>",Morbeez,Bio Pesticides,"bio pesticide, Trichoderma viride, Trichoderma soil dose, organic pest control, Morbeez, IPM",TRUE,Size,500 g,soilfungus-tricho-500g,260,100,SoilFungus Tricho,"SoilFungus Tricho is a professionally formulated Trichoderma soil dose agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Trichoderma viride while helping improve root growth, enhance flowering, and increase yield under heat. Co"
soilfungus-tricho,,,,,,,Size,1 kg,soilfungus-tricho-1kg,449,100,,
soilfungus-tricho,,,,,,,Size,5 kg,soilfungus-tricho-5kg,1863,100,,
soilfungus-tricho,,,,,,,Size,10 kg,soilfungus-tricho-10kg,3479,100,,
soilfungus-tricho,,,,,,,Size,25 kg,soilfungus-tricho-25kg,7722,100,,
foliarbt-plus,FoliarBT Plus,"<p>FoliarBT Plus is a professionally formulated BT foliar concentrate agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Bacillus thuringiensis while helping improve root growth, enhance flowering, and increase yield under salinity. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Bacillus thuringiensis, BT foliar concentrate, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,foliarbt-plus-500ml,312,100,FoliarBT Plus,"FoliarBT Plus is a professionally formulated BT foliar concentrate agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Bacillus thuringiensis while helping improve root growth, enhance flowering, and increase yield under salinity"
foliarbt-plus,,,,,,,Size,1 L,foliarbt-plus-1l,538,100,,
foliarbt-plus,,,,,,,Size,5 L,foliarbt-plus-5l,2233,100,,
foliarbt-plus,,,,,,,Size,10 L,foliarbt-plus-10l,4170,100,,
foliarbt-plus,,,,,,,Size,25 L,foliarbt-plus-25l,9254,100,,
botanicalmite-ec,BotanicalMite EC,"<p>BotanicalMite EC is a professionally formulated Plant oil mite control agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Botanical pesticides while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Farmers use BotanicalMite EC in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>biological pest and disease control</li><li>IPM compatible</li><li>reduces chemical residue risk</li><li>improves crop safety</li><li>supports soil health</li><li>eco-friendly option</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, soil application, drenching, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–800 ml per 200 L water (2–4 ml/L)</p>",Morbeez,Bio Pesticides,"bio pesticide, Botanical pesticides, Plant oil mite control, organic pest control, Morbeez, IPM",TRUE,Size,500 ml,botanicalmite-ec-500ml,341,100,BotanicalMite EC,"BotanicalMite EC is a professionally formulated Plant oil mite control agriculture input designed for Indian field, vegetable, and plantation production systems. This bio pesticides supports biological control via Botanical pesticides while helping improve root growth, enhance flowering, and increase yield under waterl"
botanicalmite-ec,,,,,,,Size,1 L,botanicalmite-ec-1l,588,100,,
botanicalmite-ec,,,,,,,Size,5 L,botanicalmite-ec-5l,2440,100,,
botanicalmite-ec,,,,,,,Size,10 L,botanicalmite-ec-10l,4557,100,,
botanicalmite-ec,,,,,,,Size,25 L,botanicalmite-ec-25l,10114,100,,
